id,ano,valor_total
220598,2025,509593.73999999877
204395,2025,509465.6299999996
220545,2024,509465.09999999986
204480,2024,509458.7799999997
226837,2025,509311.8899999999
220696,2025,509304.33
178992,2025,509024.43
204422,2025,508928.8499999998
178858,2025,508895.2300000001
220563,2023,508800.71999999945
204525,2023,508790.82999999996
220700,2023,508531.67000000045
92776,2023,508448.61000000016
204480,2025,508407.8399999998
220663,2023,508308.52999999997
220668,2023,508273.4400000001
74299,2025,508177.7399999993
204455,2025,508110.89000000025
92102,2023,508014.31000000006
220603,2024,507886.2699999998
74156,2025,507713.39999999956
220649,2025,507701.7799999998
230957,2025,507668.9300000004
74550,2023,507351.3499999998
220648,2023,507314.71000000037
74156,2024,507277.6899999991
210989,2025,507078.1799999998
204398,2025,506905.86999999994
220620,2025,506721.47000000003
178871,2023,506291.96999999986
165470,2023,506184.9599999996
204407,2025,506158.02000000054
204356,2024,506094.42000000004
218086,2025,505799.0000000002
220681,2025,505741.13
220550,2024,505706.2800000002
66828,2024,505098.61999999994
220654,2025,505092.41000000027
220626,2024,505068.5499999997
178871,2025,504882.46000000014
178989,2023,504783.88000000006
220528,2024,504583.93
171617,2024,504322.7900000003
204398,2024,504296.59999999986
179001,2025,504259.2
141391,2024,504240.42999999964
178895,2025,504133.3299999999
224333,2024,504022.2700000003
206018,2024,503488.6099999986
141464,2023,503405.4300000005
160610,2024,503139.4899999996
160527,2024,503134.9300000003
179000,2024,503066.25
220620,2023,503048.08999999997
160642,2023,502906.5699999997
141398,2024,502811.9400000002
74467,2024,502788.01999999996
204501,2024,502760.04000000015
141518,2025,502579.3
204512,2024,502417.51999999967
215043,2025,502327.3299999999
74159,2023,502323.7300000004
160512,2024,502284.34000000055
220550,2023,502217.7000000003
160569,2023,502121.7000000003
220703,2023,502107.4000000001
141411,2023,501965.4100000001
220651,2025,501953.8900000004
74171,2024,501929.11000000004
160632,2025,501902.48
220628,2025,501900.6900000001
220696,2023,501890.7400000001
81055,2023,501870.65999999986
220669,2023,501827.73000000033
74585,2024,501801.0599999996
141464,2025,501795.08
220615,2025,501771.62000000046
133439,2023,501519.85000000044
160527,2023,501497.65
225730,2025,501479.54000000004
204560,2025,501477.7700000001
74160,2025,501397.51999999897
178970,2023,501356.92
73768,2023,501244.3100000005
218086,2024,501223.80000000016
204491,2024,501219.31
178993,2025,501087.09999999974
220576,2025,501070.2400000002
92699,2023,500941.1999999996
178993,2023,500745.01000000007
150418,2024,500698.7400000001
141516,2024,500393.6400000001
160601,2025,500212.22
204517,2024,500130.8199999999
204567,2023,499877.18000000063
179001,2023,499780.7200000004
220635,2023,499756.0299999994
220547,2024,499747.44000000035
220607,2024,499743.09
73604,2023,499683.03999999963
220606,2024,499643.5600000003
204491,2025,499607.55000000005
162332,2023,499572.56000000023
178987,2024,499408.45999999973
198197,2025,499253.0499999998
204517,2025,499245.3099999999
220633,2023,499228.6899999999
160517,2023,499000.77999999985
209189,2023,498964.89000000164
204481,2023,498673.3100000005
80815,2023,498592.6900000002
175765,2025,498433.5800000004
74585,2025,498432.7300000001
74262,2025,498293.4399999994
74262,2023,498159.7700000003
204412,2024,498064.1099999999
221148,2024,498058.9300000004
160518,2024,497843.75999999983
160598,2025,497719.9100000001
220629,2025,497622.1300000001
220615,2024,497562.4900000004
74253,2025,497482.0700000002
98615,2024,497468.2300000004
178858,2024,497426.8
160588,2024,497382.6999999998
74253,2024,497320.3900000001
74550,2024,497300.22
204457,2024,497066.9899999997
178947,2024,497030.8200000003
178933,2023,496969.0700000001
220572,2025,496907.3500000001
220694,2023,496884.05999999994
178947,2025,496837.81999999995
220617,2023,496589.69000000064
222429,2024,496420.6300000002
74057,2023,496195.10000000027
178931,2024,496132.3200000005
204464,2024,496119.18000000075
74057,2025,495991.3799999997
220527,2025,495893.21999999986
160518,2025,495724.8099999996
220559,2023,495639.5599999995
166402,2025,495599.61000000004
178876,2025,495556.91000000015
121948,2025,495541.07000000327
220567,2025,495516.32999999996
204391,2025,495504.84
204534,2023,495398.259999999
204391,2024,495383.31000000006
220566,2025,495353.27999999997
205550,2025,495345.27999999985
204512,2025,495297.96000000014
220654,2024,495245.4400000001
74158,2025,495189.13
141531,2025,495177.65999999974
204535,2025,495072.5599999998
137070,2023,495067.63999999996
220603,2025,495062.68000000005
166402,2024,494889.71000000014
204515,2024,494872.76000000036
160758,2023,494746.4699999998
178895,2024,494615.06999999995
220607,2023,494450.27999999985
74171,2025,494367.1200000001
220617,2025,494279.9299999998
