id,nomeCivil,siglaUF,siglaPartido
141516,PAULO ABI-ACKEL,MG,PSDB
220650,PAULO ALEXANDRE PEREIRA BARBOSA,SP,PSDB
178860,PAULO VELLOSO DANTAS AZI,BA,UNIÃO
160517,PAULO ROBERTO FOLLETTO,ES,PSB
160558,PAULO ROBERTO FREIRE DA COSTA,SP,PL
204492,PAULO JOSE CARLOS GUEDES,MG,PT
220685,PAULO HENRIQUE COLETTI FERNANDES,PR,PSD
74574,PAULO SÉRGIO PARANHOS DE MAGALHÃES,BA,PSD
128760,PAULO CELSO FONSECA MARINHO JÚNIOR,MA,PL
74400,PAULO ROBERTO SEVERO PIMENTA,RS,PT
220630,PEDRO DOSHIKAZU PIANCHAO AIHARA,MG,PRD
220667,PEDRO HENRIQUE DE A. L. C. CAMPOS,PE,PSB
122974,PEDRO LUCAS ANDRADE FERNANDES RIBEIRO,MA,UNIÃO
204395,PEDRO DEBONI LUPION MELLO,PR,REPUBLICANOS
122158,PEDRO PAULO CARVALHO TEIXEIRA,RJ,PSD
160604,PEDRO FRANCISCO UCZAI,SC,PT
204406,PEDRO BANDARRA WESTPHALEN,RS,PP
161440,RAFAEL PEZENTI,SC,MDB
204524,ANTÔNIO PINHEIRO NETO,MG,PP
73486,DARCI POMPEO DE MATTOS,RS,PDT
160601,MARCO ANTÔNIO FELICIANO,SP,PL
220533,Reginaldo Veras Coelho,DF,PV
204390,ALCIDES RIBEIRO FILHO,GO,PL
221338,LUCIENE CAVALCANTE DA SILVA,SP,PSOL
160641,MARCIVANIA DO SOCORRO DA ROCHA FLEXA,AP,PCdoB
220586,RAFAEL DE GOES BRITO,AL,MDB
233594,RAFAEL BENTO PEREIRA,RO,PODE
220532,RAFAEL CAVALCANTI PRUDENTE,DF,MDB
220626,RAFAEL TADEU SIMÕES,MG,UNIÃO
204567,RAIMUNDO MAGALHÃES COSTA,BA,PODE
74084,RAIMUNDO JOSÉ PEREIRA DOS SANTOS,PA,PSD
74161,REGINALDO LÁZARO DE OLIVEIRA LOPES,MG,PT
220606,REIMONT LUIZ OTONI SANTA BARBARA,RJ,PT
205865,REINHOLD STEPHANES JUNIOR,PR,PSD
