id,tipoDespesa,valorLiquido,ranking
220581,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,462500.0,2.0
160600,COMBUSTÍVEIS E LUBRIFICANTES.,208194.3,5.0
220691,COMBUSTÍVEIS E LUBRIFICANTES.,223254.63999999998,4.0
220645,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,252300.0,3.0
74428,COMBUSTÍVEIS E LUBRIFICANTES.,80190.2,5.0
204441,COMBUSTÍVEIS E LUBRIFICANTES.,164987.54,4.0
220677,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,845150.85,1.0
220549,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,294530.27,2.0
204394,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,161055.59,4.0
141450,TELEFONIA,42972.49,5.0
229585,PASSAGEM AÉREA - SIGEPA,44578.61,3.0
220635,PASSAGEM AÉREA - SIGEPA,287449.24,2.0
220570,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,840825.87,1.0
133439,COMBUSTÍVEIS E LUBRIFICANTES.,155548.7,5.0
74171,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,918191.62,1.0
220621,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,144000.0,3.0
